vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
2,1/2/2020 11:26:36,1/2/2020 11:26:38,1,0,1.0,N,1,0,0,0,0,0,0,,0,264,264,2020,1
1,1/10/2020 14:39:22,1/10/2020 15:05:22,2,2.4,1.0,N,3,0,0,0,0,0,0,,0,75,142,2020,1
2,1/25/2020 16:01:46,1/25/2020 16:13:24,1,1.12,1.0,N,2,0,0,0,0,0,0,,0,142,230,2020,1
2,1/17/2020 1:21:22,1/17/2020 1:21:58,1,0,1.0,N,2,0,0,0,0,0,0,,0,193,193,2020,1
2,1/21/2020 22:02:17,1/21/2020 22:02:23,1,0,1.0,N,1,0,0,0,0,0,0,,0,264,264,2020,1
2,1/22/2020 3:39:15,1/22/2020 3:39:58,1,0,1.0,N,1,0,0,0,0,0,0,,0,107,264,2020,1
2,1/12/2020 1:31:58,1/12/2020 1:45:35,2,1.8,1.0,N,2,0,0,0,0,0,0,,0,79,232,2020,1
2,1/23/2020 22:02:23,1/23/2020 22:02:41,1,0,2.0,N,2,0,0,0,0,0,0,,0,68,68,2020,1
1,1/15/2020 9:38:08,1/15/2020 9:38:08,1,0,5.0,N,2,0,0,0,0,0,0,,0,263,264,2020,1
2,1/16/2020 23:30:04,1/16/2020 23:30:04,1,0,1.0,N,2,0,0,0,0,0,0,,0,264,264,2020,1
2,1/27/2020 11:28:48,1/27/2020 11:29:00,1,0,1.0,N,2,0,0,0,0,0,0,,0,229,141,2020,1
1,1/13/2020 18:30:12,1/13/2020 18:30:18,1,6.6,1.0,N,3,0,0,0,0,0,0,,0,138,138,2020,1
2,1/22/2020 11:46:47,1/22/2020 11:47:25,1,0.03,1.0,N,2,0,0,0,0,0,0,,0,100,100,2020,1
1,1/13/2020 17:28:05,1/13/2020 17:32:59,2,0.6,1.0,N,3,0,0,0,0,0,0,,0,107,107,2020,1
2,1/27/2020 9:45:37,1/27/2020 9:45:43,1,0,2.0,N,2,0,0,0,0,0,0,,0,141,141,2020,1
1,1/21/2020 7:14:57,1/21/2020 7:15:07,1,0,1.0,N,3,0,0,0,0,0,0,,0,188,188,2020,1
2,1/30/2020 11:32:29,1/30/2020 11:51:42,1,1.86,1.0,N,2,0,0,0,0,0,0,,0,236,237,2020,1
2,1/15/2020 19:57:51,1/15/2020 19:58:36,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,264,2020,1
2,1/4/2020 12:00:04,1/4/2020 12:00:53,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
1,1/8/2020 16:48:30,1/8/2020 16:48:40,1,0,2.0,Y,2,0,0,0,0,0,0,,0,132,132,2020,1
2,1/9/2020 1:39:55,1/9/2020 1:39:55,1,0,1.0,N,2,0,0,0,0,0,0,,0,264,264,2020,1
2,1/31/2020 9:58:18,1/31/2020 10:01:17,1,0.41,1.0,N,2,0,0,0,0,0,0,,0,186,186,2020,1
2,1/15/2020 15:54:46,1/15/2020 15:55:59,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
1,1/17/2020 15:54:30,1/17/2020 15:54:39,1,0,1.0,Y,4,0,0,0,0,0,0,,0,79,79,2020,1
2,1/30/2020 0:55:00,1/30/2020 0:55:08,1,0,1.0,N,1,0,0,0,0,0,0,,0,7,264,2020,1
2,1/10/2020 21:08:36,1/10/2020 21:10:01,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
1,1/23/2020 7:16:07,1/23/2020 7:16:07,1,0,5.0,Y,2,0,0,0,0,0,0,,0,264,264,2020,1
1,1/13/2020 14:52:24,1/13/2020 15:01:00,2,0.9,1.0,N,3,0,0,0,0,0,0,,0,163,230,2020,1
2,1/13/2020 15:00:46,1/13/2020 15:01:04,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
2,1/25/2020 23:33:47,1/25/2020 23:33:58,2,0,2.0,N,2,0,0,0,0,0,0,,0,226,226,2020,1
2,1/26/2020 10:15:26,1/26/2020 10:15:30,1,0.01,2.0,N,2,0,0,0,0,0,0,,0,170,264,2020,1
2,1/28/2020 5:02:23,1/28/2020 5:31:26,1,19.01,2.0,N,2,0,0,0,0,0,0,,0,262,132,2020,1
1,1/7/2020 21:22:43,1/7/2020 21:22:43,1,0,5.0,Y,2,0,0,0,0,0,0,,0,24,264,2020,1
2,1/12/2020 1:16:08,1/12/2020 1:31:51,1,3.15,1.0,N,2,0,0,0,0,0,0,,0,114,229,2020,1
2,1/23/2020 0:00:37,1/23/2020 0:06:38,1,1.29,1.0,N,2,0,0,0,0,0,0,,0,162,232,2020,1
2,1/27/2020 5:15:51,1/27/2020 5:15:56,1,0,1.0,N,2,0,0,0,0,0,0,,0,193,264,2020,1
2,1/20/2020 14:43:50,1/20/2020 14:43:56,1,0.03,2.0,N,2,0,0,0,0,0,0,,0,237,237,2020,1
2,1/21/2020 20:58:08,1/21/2020 21:23:06,1,11.05,1.0,N,2,0,0,0,0,0,0,,0,162,257,2020,1
2,1/22/2020 10:59:02,1/22/2020 10:59:11,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,264,2020,1
2,1/13/2020 20:03:08,1/13/2020 20:03:32,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
2,1/1/2020 4:18:28,1/1/2020 4:18:32,1,0,1.0,N,2,0,0,0,0,0,0,,0,260,264,2020,1
2,1/26/2020 18:23:05,1/26/2020 18:23:47,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,264,2020,1
1,1/8/2020 11:41:15,1/8/2020 11:41:15,1,0,1.0,N,2,0,0,0,0,0,0,,0,132,264,2020,1
2,1/15/2020 13:41:23,1/15/2020 14:18:08,1,15.32,3.0,N,2,0,0,0,0,0,0,,0,87,1,2020,1
2,1/27/2020 13:13:01,1/27/2020 13:13:10,1,0,1.0,N,2,0,0,0,0,0,0,,0,234,234,2020,1
2,1/28/2020 19:53:49,1/28/2020 19:54:33,1,0,1.0,N,1,0,0,0,0,0,0,,0,193,193,2020,1
