vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
2,1/1/2022 0:28:19,1/1/2022 0:45:29,2,8.6,1.0,N,1,25.5,0.5,0.5,5.86,0,0.3,0,35.16,209,74,2022,1
1,1/1/2022 0:39:28,1/1/2022 0:57:50,4,5.7,1.0,N,1,19.5,3,0.5,0.05,0,0.3,0,23.35,162,87,2022,1
1,1/1/2022 0:35:37,1/1/2022 1:05:53,3,8.1,1.0,N,1,27.5,3,0.5,11.35,6.55,0.3,0,49.2,137,160,2022,1
1,1/1/2022 0:39:08,1/1/2022 1:03:17,1,9.8,1.0,Y,1,30,1.75,0.5,8.1,0,0.3,1.25,40.65,138,225,2022,1
1,1/1/2022 0:57:08,1/1/2022 1:22:35,2,17.5,1.0,N,1,47.5,1.75,0.5,7,6.55,0.3,1.25,63.6,132,213,2022,1
2,1/1/2022 0:09:56,1/1/2022 0:36:55,5,5.72,1.0,N,1,22,0.5,0.5,5.16,0,0.3,0,30.96,239,148,2022,1
2,1/1/2022 0:47:31,1/1/2022 0:47:37,1,0,5.0,N,1,14.8,0,0.5,4.52,0,0.3,0,22.62,48,48,2022,1
2,1/1/2022 0:43:59,1/1/2022 1:09:05,5,4.89,1.0,N,1,20,0.5,0.5,4.76,0,0.3,0,28.56,107,238,2022,1
1,1/1/2022 0:21:49,1/1/2022 0:43:51,1,9,1.0,N,1,26.5,1.75,0.5,5.8,0,0.3,1.25,34.85,132,265,2022,1
2,1/1/2022 0:12:20,1/1/2022 0:26:51,3,8.11,1.0,N,1,23.5,0,0.5,2.68,0,0.3,0,29.48,142,127,2022,1
2,1/1/2022 0:37:16,1/1/2022 1:03:18,2,10.35,1.0,N,1,31.5,0.5,0.5,10.78,6.55,0.3,1.25,53.88,138,68,2022,1
2,1/1/2022 0:23:02,1/1/2022 0:24:06,1,0.29,1.0,N,1,3,0.5,0.5,1.36,0,0.3,0,8.16,170,107,2022,1
2,1/1/2022 0:20:10,1/1/2022 0:52:50,1,7.62,1.0,N,1,28,0.5,0.5,7.67,6.55,0.3,0,46.02,107,82,2022,1
2,1/1/2022 0:46:32,1/1/2022 1:13:08,1,12.49,1.0,N,1,36.5,0.5,0.5,10.07,0,0.3,0,50.37,236,82,2022,1
1,1/1/2022 0:42:05,1/1/2022 0:56:22,3,7.8,1.0,N,1,23,3,0.5,10,6.55,0.3,0,43.35,70,262,2022,1
2,1/1/2022 0:35:53,1/1/2022 1:04:17,2,8.33,1.0,N,1,27.5,0.5,0.5,6.26,0,0.3,0,37.56,113,152,2022,1
2,1/1/2022 0:58:49,1/1/2022 1:21:02,1,6.57,1.0,N,1,22.5,0.5,0.5,7.89,0,0.3,0,34.19,246,116,2022,1
