vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,1/1/2021 0:43:30,1/1/2021 1:11:06,1,14.7,1.0,N,1,42,0.5,0.5,8.65,0,0.3,,51.95,132,165,2021,1
1,1/1/2021 0:15:48,1/1/2021 0:31:01,0,10.6,1.0,N,1,29,0.5,0.5,6.05,0,0.3,,36.35,138,132,2021,1
2,1/1/2021 0:19:57,1/1/2021 0:43:03,3,10.74,1.0,N,1,32.5,0.5,0.5,4,0,0.3,,40.3,264,231,2021,1
2,1/1/2021 0:44:58,1/1/2021 1:07:41,2,5.85,1.0,N,1,21.5,0.5,0.5,5.06,0,0.3,,30.36,249,238,2021,1
2,1/1/2021 0:06:11,1/1/2021 0:23:40,1,8.06,1.0,N,1,24.5,0.5,0.5,5.66,0,0.3,,33.96,75,264,2021,1
2,1/1/2021 0:47:46,1/1/2021 1:11:05,1,6.56,1.0,N,1,21.5,0.5,0.5,4,0,0.3,,29.3,79,41,2021,1
2,1/1/2021 0:17:53,1/1/2021 0:41:04,2,15.19,4.0,N,1,46,0.5,0.5,9.46,0,0.3,,56.76,70,265,2021,1
1,1/1/2021 0:50:44,1/1/2021 1:10:58,1,9.6,1.0,N,1,28,3,0.5,7.95,0,0.3,,39.75,90,133,2021,1
2,1/1/2021 0:19:18,1/1/2021 0:39:16,4,5.04,1.0,N,1,18.5,0.5,0.5,4,0,0.3,,26.3,137,49,2021,1
2,1/1/2021 0:48:28,1/1/2021 1:10:30,1,7.12,1.0,N,1,24,0.5,0.5,5.56,0,0.3,,33.36,231,151,2021,1
2,1/1/2021 0:59:24,1/1/2021 1:22:59,1,7.35,1.0,N,1,23,0.5,0.5,5.36,0,0.3,,32.16,48,195,2021,1
2,1/1/2021 0:55:27,1/1/2021 1:29:28,1,8.89,1.0,N,1,30,0.5,0.5,6.76,0,0.3,,40.56,230,181,2021,1
2,1/1/2021 0:17:06,1/1/2021 0:51:26,2,17.68,1.0,N,1,50,0.5,0.5,10.26,0,0.3,,61.56,264,165,2021,1
1,1/1/2021 0:22:56,1/1/2021 0:44:31,1,6.3,1.0,N,1,21,3,0.5,7.4,0,0.3,,32.2,43,211,2021,1
2,1/1/2021 0:32:52,1/1/2021 0:55:30,1,7.99,1.0,N,1,27,0.5,0.5,9.24,0,0.3,,40.04,161,244,2021,1
2,1/1/2021 0:09:14,1/1/2021 0:32:52,1,5.97,1.0,N,1,21.5,0.5,0.5,5.06,0,0.3,,30.36,45,61,2021,1
2,1/1/2021 0:22:05,1/1/2021 0:53:34,1,20.26,1.0,N,1,55,0.5,0.5,16.89,0,0.3,,73.19,132,181,2021,1
2,1/1/2021 0:47:58,1/1/2021 1:12:16,3,7,1.0,N,1,23,0.5,0.5,8.04,0,0.3,,34.84,249,179,2021,1
1,1/1/2021 0:49:47,1/1/2021 1:19:14,1,6.4,1.0,N,1,25.5,3,0.5,5.85,0,0.3,,35.15,137,260,2021,1
